Type,google/gemma-3-27b-it,mistralai/Pixtral-12B-2409,mistralai/Pixtral-Large-Instruct-2411,Qwen/Qwen3-VL-32B-Instruct,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,google/gemma-3-12b-it
Annexes,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Annexes - Résumé des Commissions et Frais,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333
Caractéristiques de l’offre de gestion du fonds,1.0,0.2,0.6,0.8,0.8,0.8,1.0
Caractéristiques des Catégories d’Actions du Compartiment,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Caractéristiques des différentes catégories de parts du Fonds,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
Catégories d'actions,1.0,0.5,0.5,0.5,1.0,1.0,1.0
Commission de performance,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Commission de surperformance,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Commissions et charges,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Coût de l'investissement,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Dispositions particulières,0.8,0.4,0.8,1.0,0.6,1.0,1.0
Document informationnel sur la disponibilité des publications et leur localisation,0.8,0.8,0.8,0.8,1.0,0.8,0.6
Exposition globale et Niveau d’effet de levier attendu,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
Facteurs de risque,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666
Fais et commissions,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Frais,0.9444444444444444,0.5,0.6111111111111112,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8333333333333334
Frais de fonctionnement et commissions,1.0,0.75,1.0,1.0,1.0,1.0,1.0
Frais de fonctionnement et de gestion,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0
Frais et commissions,0.5,0.5,1.0,1.0,1.0,1.0,0.0
Frais et commissions applicables au fonds,1.0,0.0,0.8,0.6,0.8,1.0,1.0
Frais et commissions ponctuels,0.8,0.6,0.8,0.8,0.8,1.0,1.0
Frais et commisssion,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0
Instruments de taux,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0
Instruments dérivés,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Instruments financiers,0.6,0.4,0.6,0.8,0.2,0.4,0.4
"Modalité de souscription, rachat et conversion des actions",1.0,0.5,1.0,1.0,1.0,1.0,1.0
Modalités de souscriptions et de rachat,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Objectifs et politique d'investissement,1.0,0.5,0.5,0.5,1.0,0.5,1.0
Offre de gestion,0.9166666666666666,0.4166666666666667,0.8333333333333334,1.0,0.9166666666666666,1.0,0.9166666666666666
Repertoire,1.0,0.5,0.75,1.0,0.75,0.75,0.75
Restrictions d'investissements,1.0,0.5,1.0,1.0,1.0,1.0,1.0
Risque,0.0,0.0,0.0,1.0,0.0,1.0,0.0
Souscription minimale,1.0,0.625,0.5,0.875,0.75,0.875,1.0
Stratégie d'investissement,0.0,1.0,0.0,0.0,1.0,1.0,1.0
Average,0.85,0.5166666666666667,0.7166666666666667,0.8583333333333333,0.8,0.8833333333333333,0.8583333333333333
