Type,Qwen/Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-32B-Instruct,google/gemma-3-12b-it,google/gemma-3-27b-it,Qwen/Qwen2.5-VL-72B-Instruct-AWQ,mistralai/Pixtral-12B-2409
Annexes,1.0,1.0,1.0,1.0,1.0,1.0
Annexes - Résumé des Commissions et Frais,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.6666666666666666
Caractéristiques de l’offre de gestion du fonds,1.0,0.8,1.0,0.6,1.0,0.4
Caractéristiques des Catégories d’Actions du Compartiment,1.0,0.0,1.0,1.0,0.0,0.0
Caractéristiques des différentes catégories de parts du Fonds,1.0,1.0,1.0,1.0,1.0,1.0
Catégories d'actions,1.0,1.0,0.5,0.5,1.0,1.0
Commission de performance,0.0,0.0,0.0,0.0,0.0,0.0
Commission de surperformance,0.0,0.0,0.0,0.0,0.0,0.0
Commissions et charges,1.0,1.0,1.0,1.0,1.0,1.0
Coût de l'investissement,1.0,1.0,1.0,1.0,1.0,0.0
Dispositions particulières,0.4,0.2,0.2,0.2,0.8,0.6
Document informationnel sur la disponibilité des publications et leur localisation,0.8,0.8,0.8,0.8,0.6,0.6
Exposition globale et Niveau d’effet de levier attendu,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333
Facteurs de risque,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
Fais et commissions,0.0,1.0,0.0,0.0,0.0,0.0
Frais,0.8888888888888888,0.9444444444444444,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.7777777777777778
Frais de fonctionnement et commissions,0.5,0.75,0.5,0.5,0.5,0.5
Frais de fonctionnement et de gestion,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0
Frais et commissions,1.0,1.0,0.5,1.0,1.0,0.5
Frais et commissions applicables au fonds,0.8,1.0,0.8,0.8,1.0,0.8
Frais et commissions ponctuels,0.6,1.0,0.8,0.8,0.8,0.8
Frais et commisssion,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333
Instruments de taux,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0
Instruments dérivés,0.0,0.0,0.0,0.0,0.0,0.0
Instruments financiers,0.6,0.8,0.2,0.2,0.6,0.4
"Modalité de souscription, rachat et conversion des actions",1.0,1.0,1.0,1.0,1.0,1.0
Modalités de souscriptions et de rachat,0.5,0.5,1.0,0.5,1.0,0.5
Objectifs et politique d'investissement,0.5,1.0,1.0,1.0,0.5,0.5
Offre de gestion,0.9166666666666666,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.3333333333333333
Repertoire,0.75,0.5,0.75,0.5,0.75,0.75
Restrictions d'investissements,0.5,0.5,1.0,0.5,0.5,0.5
Risque,1.0,0.0,0.0,0.0,0.0,1.0
Souscription minimale,0.625,0.5,0.625,0.875,0.625,0.5
Stratégie d'investissement,0.0,0.0,0.0,0.0,0.0,1.0
Average,0.7,0.7416666666666667,0.6416666666666667,0.6333333333333333,0.75,0.5666666666666667
